en,vi,aliases_en,notes,needs_review
Wizards,Phù thủy,Wizard,Pháp sư,
Males,Nam,Male,,
Spells of unknown incantation,Bùa chú không rõ câu thần chú,,,
British or Irish individuals,Người Anh hoặc Ireland,,,
Potion ingredients,Nguyên liệu độc dược,Potion ingredient,,
Females,Nữ,Female,,
Creatures existing in the non-magic world,Sinh vật tồn tại trong thế giới Muggle,,,
Magical objects,Vật ma thuật,Magical object,,
Charms,Bùa,Charm,Bùa mê;Bùa chú;môn Bùa,
Spells with a light,Bùa chú có ánh sáng,,,
Parents,Cha mẹ,Parent,Ba mẹ;Phụ huynh,
Unidentified spells,Bùa chú chưa xác định,Unidentified spell,,
Cities and towns,Thành phố và thị trấn,,,
British individuals,Người Anh,British individual,,
Married individuals,Người đã kết hôn,Married individual,,
Shops,Cửa tiệm,Shop,,
20th century births,Sinh vào thế kỷ 20,20th century birth,,
London,London,,,
Pure-bloods,Phù thuỷ thuần chủng,Pure-blood,Phù thuỷ thuần chủng,
Spells with incantations of Latin origin,Bùa chú với câu thần chú gốc Latin,,,
Plants,Thực vật,Plant,,
Harry Potter's possessions,Đồ vật của Harry Potter,Harry Potter's possession,,
Hogwarts,Hogwarts,,Trường Hogwarts;Lâu đài Hogwarts,
Transforming spells,Thần chú biến hình,Transforming spell,,
Patronus forms,Hiện thân của Thần Hộ Mệnh,Patronus form,Thần Hộ Mệnh,
Brown-eyed individuals,Người mắt nâu,Brown-eyed individual,,
Potions,Độc dược,Potion,,
England,Nước Anh,,Anh;nước Anh,
New York,New York,,,
Defence Against the Dark Arts,Phòng chống Nghệ thuật Hắc ám,Defence Against the Dark Art,PCNTHA,
Diagon Alley,Hẻm Xéo,,,
Hogwarts locations,Địa điểm ở Hogwarts,Hogwarts location,,
Objects held by the Hogwarts Library,Đồ vật tại Thư viện Hogwarts,,,
Unknown House,Không rõ Nhà,,,
Healing magic,Ma thuật chữa lành,,,
Poisons,Chất độc,Poison,,
Hogsmeade,Hogsmeade,,Làng Hogsmeade,
Unnamed family members,Thành viên gia đình không rõ tên,Unnamed family member,,
English individuals,Người Anh,English individual,,
Wizarding locations,Địa điểm trong thế giới pháp thuật,Wizarding location,,
Muggle-familiar creatures,Sinh vật quen thuộc với Muggle,Muggle-familiar creature,,
Scotland,Scotland,,,
Portraits,Chân dung,Portrait,,
Slytherins,Học sinh nhà Slytherin,Slytherin,Slytherin,
Battle of Hogwarts participants,Người tham gia Trận Hogwarts,Battle of Hogwarts participant,,
Blue-eyed individuals,Người mắt xanh dương,Blue-eyed individual,,
Houses,Nhà (Hogwarts),House,Các nhà,
Herbology,Thảo dược học,,môn Thảo dược;lớp Thảo dược,
Transfiguration spells,Thần chú Biến hình,Transfiguration spell,,
Spells of known incantation,Bùa chú biết câu thần chú,,,
Murder victims,Nạn nhân bị sát hại,Murder victim,,
Rooms,Phòng,Room,,
Gryffindors,Học sinh nhà Gryffindor,Gryffindor,Gryffindor,
Wands,Đũa phép,Wand,,
Conjurations,Bùa chú Hiện hồn,Conjuration,,
Forbidden Forest,Rừng Cấm,,,
Buildings,Toà nhà,Building,,
Creature products,Sản phẩm từ sinh vật,Creature product,,
Medications,Thuốc,Medication,,
Paris,Paris,,,
United States of America,Hoa Kỳ,,Mỹ,
Green-eyed individuals,Người mắt xanh lá,Green-eyed individual,,
Fire-based magic,Ma thuật liên quan tới lửa,,,
Hermione Granger's possessions,Đồ vật của Hermione Granger,Hermione Granger's possession,,
Streets,Đường phố,Street,,
Honeydukes,Công tước Mật,,tiệm Công tước Mật,
Protective spells,Bùa chú bảo vệ,Protective spell,,
Deceased individuals,Người đã qua đời,Deceased individual,,
Documents,Tài liệu,Document,,
Knockturn Alley,Hẻm Knockturn,,,
Gold objects,Đồ vật bằng vàng,Gold object,,
Non-magic people,Người không có phép thuật,,Muggle;dân Muggle,
Ronald Weasley's possessions,Đồ vật của Ronald Weasley,Ronald Weasley's possession,,
Sorted in the 1990s,Được phân loại vào thập niên 1990,,,
Flint family descendants,Hậu duệ nhà Flint,Flint family descendant,,
French individuals,Người Pháp,French individual,,
Jinxes,Bùa ếm,Jinx,yểm bùa,
Ravenclaws,Học sinh nhà Ravenclaw,Ravenclaw,Ravenclaw,
Businesses,Cơ sở kinh doanh,Business,,
Sweets,Kẹo,Sweet,,
Water-based magic,Ma thuật liên quan tới nước,,,
Birds,Chim,Bird,,
Curses,Lời nguyền,Curse,,
Spellbooks,Sách bùa chú,Spellbook,,
Weasleys' Wizard Wheezes,Tiệm Phù Thỉ Wỉ Wái Của Weasley,Weasleys' Wizard Wheeze,Phù Thỉ Wỉ Wái;tiệm Phù Thỉ Wỉ Wái,
Protective objects,Vật bảo vệ,Protective object,,
Pure-blood supremacists,Kẻ tôn thờ dòng dõi thuần chủng,Pure-blood supremacist,,
Bertie Bott's Every Flavour Beans flavours,Vị của kẹo dẻo đủ vị hiệu Bertie Bott,Bertie Bott's Every Flavour Beans flavour,kẹo dẻo đủ vị hiệu Bertie Bott;Đậu Các Vị hiệu Bertie Bott,
Hufflepuffs,Học sinh nhà Hufflepuff,Hufflepuff,Hufflepuff,
Spells with modifiers,Bùa chú có biến thể,Spells with modifier,,
1970s births,Sinh vào thập niên 1970,1970s birth,,
Blood traitors,Kẻ phản bội dòng máu,Blood traitor,,
Concealment,Sự che giấu,,,
Magizoology books,Sách Nghiên cứu Sinh vật Huyền bí,Magizoology book,,
Christmas presents,Quà Giáng sinh,Christmas present,,
Cups,Cốc,Cup,,
Light-based magic,Ma thuật liên quan tới ánh sáng,,,
1994 Quidditch World Cup attendees,Khán giả Cúp Quidditch Thế giới 1994,1994 Quidditch World Cup attendee,,
Care of Magical Creatures,Chăm sóc Sinh vật Huyền bí,Care of Magical Creature,môn Chăm sóc Sinh vật Huyền bí,
Cursed objects,Vật bị nguyền,Cursed object,,
Offices,Văn phòng,Office,,
Fruits and vegetables,Trái cây và rau củ,,,
Hogwarts awards,Giải thưởng Hogwarts,Hogwarts award,,
Dark Arts,Nghệ thuật Hắc ám,Dark Art,,
Grey-eyed individuals,Người mắt xám,Grey-eyed individual,,
National Quidditch teams,Đội tuyển Quidditch quốc gia,National Quidditch team,,
Albus Dumbledore's possessions,Đồ vật của Albus Dumbledore,Albus Dumbledore's possession,,
Authors,Tác giả,Author,,
Divination,Tiên tri,,môn Tiên tri;Bói toán;lớp Tiên tri,
Hogwarts dungeons,Hầm ngục Hogwarts,Hogwarts dungeon,,
Hogwarts grounds,Khuôn viên Hogwarts,Hogwarts ground,,
Hogwarts secrets,Bí mật của Hogwarts,Hogwarts secret,,
Hogwarts prefects,Huynh trưởng Hogwarts,Hogwarts prefect,,
Muggle Studies,Muggle Học,Muggle Study,môn Muggle-học,
Sentient objects,Đồ vật có tri giác,Sentient object,,
Triwizard Tournament,Cuộc thi Tam Pháp Thuật,,Cuộc thi Tam Pháp Thuật;Tam Pháp Thuật,
Mental magic,Ma thuật tâm trí,,,
Boggart forms,Hình dạng Ông Kẹ,Boggart form,Ông Kẹ,
British Ministry of Magic,Bộ Pháp thuật,,Bộ Pháp Thuật,
Chasers,Truy thủ,Chaser,,
Half-bloods,Phù thuỷ lai,Half-blood,,TRUE
Hogwarts textbooks,Sách giáo khoa Hogwarts,Hogwarts textbook,,
Mammals,Động vật có vú,Mammal,,
Cosmetics,Mỹ phẩm,Cosmetic,,
Dogs,Chó,Dog,,
Human Transfigurations,Phép Biến hình Người,Human Transfiguration,,
Silver objects,Đồ vật bằng bạc,Silver object,,
Beasts,Quái thú,Beast,,
Books,Sách,Book,,
Unmarried individuals,Người chưa kết hôn,Unmarried individual,,
Wildlife reserves,Khu bảo tồn động vật hoang dã,Wildlife reserve,,
Bronze Chocolate Frog Cards,Thẻ Sôcôla Ếch nhái đồng,Bronze Chocolate Frog Card,,TRUE
Cats,Mèo,Cat,,
Killed by Tom Riddle,Bị Tom Riddle giết,,,
Levitation,Bay,,,
Sorted in the 20th century,Được phân loại vào thế kỷ 20,,,
Unforgivable Curse users,Kẻ dùng Lời nguyền Không thể Tha thứ,Unforgivable Curse user,,
Charms books,Sách Bùa chú,Charms book,,
France,Pháp,,,
Pets,Thú cưng,Pet,,
Quidditch,Quidditch,,,
Second Wizarding War casualties,Thương vong trong Cuộc chiến Phù thủy lần thứ hai,Second Wizarding War casualty,,
Events,Sự kiện,Event,,
Hogwarts classrooms,Phòng học Hogwarts,Hogwarts classroom,,
Invisibility,Vô hình,,,
Organisations,Tổ chức,Organisation,,
Prank devices,Đồ chơi khăm,Prank device,,
Antidotes,Thuốc giải,Antidote,,
Dumbledore's Army,Đoàn Quân Dumbledore,,Đ.Q.D.,
Shop owners,Chủ tiệm,Shop owner,,
Siege of Hogwarts participants,Người tham gia Cuộc bao vây Hogwarts,Siege of Hogwarts participant,,TRUE
Astronomy,Thiên văn học,,môn Thiên văn,
House of Black,Nhà Black,,,
Leaky Cauldron,Cái Vạc Lủng,,Quán Cái Vạc Lủng,
Newton Scamander's possessions,Đồ vật của Newton Scamander,Newton Scamander's possession,,
Statues,Tượng,Statue,,
Toys,Đồ chơi,Toy,,
Trans-species Transformations,Biến hình giữa các loài,Trans-species Transformation,,TRUE
Aurors,Thần Sáng,Auror,,
Dark Magic artefacts,Khí cụ Hắc ám,Dark Magic artefact,,
Fish,Cá,,,
Insects,Côn trùng,Insect,,
Lestrange family,Nhà Lestrange,,,
Portkeys,Khóa Cảng,Portkey,,
Unicorn hair wands,Đũa phép lõi lông kỳ lân,Unicorn hair wand,,
Capitals,Thủ đô,Capital,,
Christmas,Giáng sinh,,lễ Giáng sinh;Noel,
Dark charms,Bùa chú Hắc ám,Dark charm,,
